OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.116.184,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,9.9327 deg,78.1141 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.116.184,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,9.9327 deg,78.1141 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.116.184,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,9.9327 deg,78.1141 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.122.4,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,11.0142 deg,76.9941 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,2409:4072:6d09:d72f:cbe2:b00a:d4c8:14c3,Asia,India,Maharashtra,Navi Mumbai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,11.6602 deg,78.1532 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,2409:4072:6d09:d72f:cbe2:b00a:d4c8:14c3,Asia,India,Maharashtra,Navi Mumbai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,11.6602 deg,78.1532 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.97.65,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,10.7849 deg,78.6721 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.97.65,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,10.7849 deg,78.6721 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.97.65,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,10.7849 deg,78.6721 deg,25000 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,2,Not Available,Mesa/X.org,"llvmpipe (LLVM 11.0.1, 256 bits)",1920x1080,Firefox/78.0,157.46.97.65,Asia,India,Tamil Nadu,Chennai,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,10.7849 deg,78.6721 deg,25000 m,Not Available,Not Available,Not Available
